"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2023","115.10","110.50","116.30","110.50","7.43M","3.60%"
"09/28/2023","111.10","113.10","113.90","110.70","9.10M","-2.03%"
"09/27/2023","113.40","113.40","115.40","112.70","13.80M","0.98%"
"09/26/2023","112.30","115.00","116.20","112.00","17.01M","-2.69%"
"09/25/2023","115.40","119.00","119.40","115.20","9.05M","-4.07%"
"09/22/2023","120.30","116.30","120.50","115.90","11.00M","3.08%"
"09/21/2023","116.70","118.00","118.50","116.00","7.65M","-1.10%"
"09/20/2023","118.00","119.70","120.10","118.00","7.84M","-1.34%"
"09/19/2023","119.60","121.10","121.80","117.40","11.61M","-1.16%"
"09/18/2023","121.00","123.40","123.90","121.00","9.90M","-2.89%"
"09/15/2023","124.60","124.80","126.40","123.10","11.46M","0.48%"
"09/14/2023","124.00","124.30","124.90","122.80","7.52M","0.24%"
"09/13/2023","123.70","124.70","125.80","122.80","6.43M","-0.80%"
"09/12/2023","124.70","123.50","126.00","123.00","6.79M","-0.72%"
"09/11/2023","125.60","124.20","126.70","122.80","19.09M","-2.26%"
"09/07/2023","128.50","131.10","132.10","128.20","8.99M","-3.09%"
"09/06/2023","132.60","133.00","134.20","131.40","8.20M","0.30%"
"09/05/2023","132.20","133.80","134.80","131.90","8.67M","-2.22%"
"09/04/2023","135.20","132.80","136.20","130.70","20.42M","4.97%"
"08/31/2023","128.80","132.00","133.20","128.10","17.12M","-2.28%"
"08/30/2023","131.80","134.60","135.40","130.80","7.80M","-1.49%"
"08/29/2023","133.80","132.00","134.50","131.70","5.92M","2.06%"
"08/28/2023","131.10","136.40","136.60","130.80","6.02M","0.85%"
"08/25/2023","130.00","130.20","131.10","129.40","6.68M","-2.40%"
"08/24/2023","133.20","131.80","134.30","130.80","8.94M","1.68%"
"08/23/2023","131.00","131.30","132.70","130.00","6.60M","-0.23%"
"08/22/2023","131.30","129.20","133.60","128.60","8.28M","1.78%"
"08/21/2023","129.00","127.80","132.70","127.80","11.66M","-1.68%"
"08/18/2023","131.20","134.60","136.40","131.20","17.18M","-5.34%"
"08/17/2023","138.60","135.40","139.50","134.10","15.19M","-1.42%"
"08/16/2023","140.60","139.80","143.30","139.60","7.36M","-1.13%"
"08/15/2023","142.20","142.90","145.60","141.40","7.03M","-1.39%"
"08/14/2023","144.20","141.40","144.40","140.50","7.78M","-1.30%"
"08/11/2023","146.10","150.00","150.50","145.50","6.01M","-2.01%"
"08/10/2023","149.10","147.40","149.70","145.40","5.43M","0.00%"
"08/09/2023","149.10","148.00","150.60","147.30","4.94M","0.47%"
"08/08/2023","148.40","151.50","151.50","147.90","8.91M","-4.38%"
"08/07/2023","155.20","154.40","157.20","152.30","5.33M","0.13%"
"08/04/2023","155.00","155.10","157.20","152.90","6.94M","3.13%"
"08/03/2023","150.30","149.80","153.10","149.20","6.30M","-1.57%"
"08/02/2023","152.70","158.00","158.70","152.20","10.22M","-3.48%"
"08/01/2023","158.20","160.00","163.50","156.40","8.94M","-1.00%"
"07/31/2023","159.80","162.70","164.50","158.70","18.41M","4.17%"
"07/28/2023","153.40","148.30","154.50","147.70","8.28M","1.39%"
"07/27/2023","151.30","152.00","153.20","149.60","7.23M","1.20%"
"07/26/2023","149.50","150.50","150.50","148.60","5.04M","-1.84%"
"07/25/2023","152.30","148.50","153.30","148.20","13.87M","7.71%"
"07/24/2023","141.40","141.90","144.10","139.80","6.47M","-2.62%"
"07/21/2023","145.20","142.70","147.70","142.40","3.85M","1.61%"
"07/20/2023","142.90","143.30","146.00","142.00","4.88M","0.07%"
"07/19/2023","142.80","140.40","143.70","137.80","9.56M","-0.49%"
"07/18/2023","143.50","147.50","147.80","142.30","12.10M","-4.65%"
"07/14/2023","150.50","155.20","155.30","149.10","10.22M","-0.13%"
"07/13/2023","150.70","146.90","150.70","145.80","14.17M","6.43%"
"07/12/2023","141.60","141.60","143.80","140.20","5.22M","1.51%"
"07/11/2023","139.50","139.60","141.30","138.70","6.74M","1.82%"
"07/10/2023","137.00","139.30","139.80","135.90","5.88M","1.71%"
"07/07/2023","134.70","133.90","136.70","131.50","8.84M","-0.59%"
"07/06/2023","135.50","136.90","138.80","133.40","7.70M","-2.31%"
"07/05/2023","138.70","141.30","142.60","138.20","3.47M","-2.46%"
"07/04/2023","142.20","138.30","142.30","137.50","6.73M","2.82%"
"07/03/2023","138.30","134.50","138.90","134.00","10.05M","4.46%"
"06/30/2023","132.40","133.00","134.20","131.20","8.07M","-0.38%"
"06/29/2023","132.90","137.30","137.30","132.00","11.45M","-3.70%"
"06/28/2023","138.00","138.70","139.40","136.60","9.66M","-1.22%"
"06/27/2023","139.70","136.80","140.80","136.60","7.92M","2.65%"
"06/26/2023","136.10","136.10","138.10","135.60","8.80M","-2.86%"
"06/23/2023","140.10","142.20","142.60","138.80","8.69M","-1.75%"
"06/21/2023","142.60","144.70","146.20","142.30","8.28M","-4.74%"
