"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2023","138.30","132.00","139.30","132.00","4.87M","3.60%"
"09/28/2023","133.50","136.90","138.80","132.10","9.34M","-3.19%"
"09/27/2023","137.90","137.90","140.70","136.40","5.47M","0.00%"
"09/26/2023","137.90","138.60","141.60","135.50","15.17M","-4.70%"
"09/25/2023","144.70","154.30","155.00","142.40","9.99M","-7.72%"
"09/22/2023","156.80","149.50","157.20","149.50","5.18M","4.05%"
"09/21/2023","150.70","150.80","153.20","149.90","3.05M","-0.92%"
"09/20/2023","152.10","150.20","153.50","149.00","4.68M","1.20%"
"09/19/2023","150.30","154.50","154.50","148.30","7.83M","-2.72%"
"09/18/2023","154.50","160.00","160.40","154.50","4.94M","-3.86%"
"09/15/2023","160.70","159.90","162.50","158.00","4.93M","1.07%"
"09/14/2023","159.00","159.00","161.00","156.50","4.03M","1.40%"
"09/13/2023","156.80","160.70","160.80","155.20","4.40M","-0.13%"
"09/12/2023","157.00","154.80","161.70","153.00","5.54M","1.42%"
"09/11/2023","154.80","150.70","155.80","149.20","5.71M","0.13%"
"09/07/2023","154.60","157.20","157.20","153.60","3.20M","-0.58%"
"09/06/2023","155.50","154.80","156.80","153.30","4.47M","-1.58%"
"09/05/2023","158.00","163.10","163.10","156.60","8.58M","-3.25%"
"09/04/2023","163.30","166.00","167.90","160.20","17.50M","1.05%"
"08/31/2023","161.60","163.20","166.00","160.10","9.53M","0.31%"
"08/30/2023","161.10","167.90","168.80","159.50","8.96M","-0.25%"
"08/29/2023","161.50","157.50","164.90","156.20","8.46M","4.19%"
"08/28/2023","155.00","162.50","164.70","154.00","7.10M","1.77%"
"08/25/2023","152.30","153.50","154.30","151.70","3.85M","-2.37%"
"08/24/2023","156.00","154.10","157.90","151.10","5.77M","2.63%"
"08/23/2023","152.00","155.00","155.30","150.00","5.99M","-2.69%"
"08/22/2023","156.20","153.50","157.90","152.30","6.74M","3.10%"
"08/21/2023","151.50","154.00","155.30","146.30","9.76M","-2.51%"
"08/18/2023","155.40","163.90","165.20","153.80","9.16M","-5.24%"
"08/17/2023","164.00","157.80","166.80","157.10","8.16M","3.60%"
"08/16/2023","158.30","159.70","160.60","157.40","4.67M","-0.38%"
"08/15/2023","158.90","157.80","162.00","157.70","8.02M","-1.24%"
"08/14/2023","160.90","157.10","161.00","150.00","11.38M","-2.72%"
"08/11/2023","165.40","168.20","169.80","163.30","7.80M","-3.73%"
"08/10/2023","171.80","164.00","172.10","164.00","8.23M","2.44%"
"08/09/2023","167.70","162.00","169.00","160.70","15.90M","-5.52%"
"08/08/2023","177.50","181.20","184.00","176.30","8.90M","-3.69%"
"08/07/2023","184.30","177.20","185.50","175.10","6.89M","2.67%"
"08/04/2023","179.50","180.70","183.00","176.00","7.15M","2.63%"
"08/03/2023","174.90","172.60","177.00","171.70","7.28M","3.92%"
"08/02/2023","168.30","172.20","173.40","167.60","6.00M","-0.94%"
"08/01/2023","169.90","167.60","174.70","166.10","8.40M","2.41%"
"07/31/2023","165.90","170.00","175.00","163.40","15.01M","3.11%"
"07/28/2023","160.90","150.60","161.20","149.60","8.73M","5.23%"
"07/27/2023","152.90","155.00","157.30","151.20","8.63M","2.69%"
"07/26/2023","148.90","148.20","149.20","146.50","2.94M","-0.60%"
"07/25/2023","149.80","149.50","152.70","147.00","6.53M","5.27%"
"07/24/2023","142.30","143.00","146.00","141.60","3.75M","-1.73%"
"07/21/2023","144.80","144.80","147.00","142.30","4.04M","0.35%"
"07/20/2023","144.30","146.70","148.50","143.50","3.48M","-1.03%"
"07/19/2023","145.80","145.00","146.50","142.20","4.69M","-1.15%"
"07/18/2023","147.50","148.60","150.00","146.60","6.25M","2.43%"
"07/14/2023","144.00","145.00","145.10","141.40","6.61M","-1.10%"
"07/13/2023","145.60","149.20","149.80","144.10","5.68M","-0.07%"
"07/12/2023","145.70","145.10","149.60","144.20","5.47M","1.60%"
"07/11/2023","143.40","140.00","144.50","138.80","7.34M","4.37%"
"07/10/2023","137.40","141.30","142.80","135.20","5.65M","0.15%"
"07/07/2023","137.20","138.80","139.40","136.60","3.60M","-1.72%"
"07/06/2023","139.60","140.30","143.50","138.20","7.82M","-2.04%"
"07/05/2023","142.50","144.10","146.00","141.20","4.18M","-1.11%"
"07/04/2023","144.10","144.80","146.70","141.50","5.62M","-1.97%"
"07/03/2023","147.00","137.20","147.60","137.20","10.90M","8.49%"
"06/30/2023","135.50","134.70","139.40","133.20","6.38M","0.30%"
"06/29/2023","135.10","137.50","139.20","133.60","4.57M","-2.10%"
"06/28/2023","138.00","136.30","139.00","134.30","5.43M","2.76%"
"06/27/2023","134.30","132.90","135.60","131.70","4.38M","1.59%"
"06/26/2023","132.20","132.50","136.20","131.50","5.34M","0.00%"
"06/23/2023","132.20","135.40","135.40","130.80","2.74M","-2.94%"
